SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
447,1/30/2020,,India,1/30/2020,1,0,0
510,1/31/2020,,India,1/31/2020,1,0,0
568,2/1/2020,,India,1/31/2020,1,0,0
630,2/2/2020,,India,2020-02-02T06:03:08,2,0,0
697,2/3/2020,,India,2020-02-03T21:43:02,3,0,0
767,2/4/2020,,India,2020-02-03T21:43:02,3,0,0
839,2/5/2020,,India,2020-02-03T21:43:02,3,0,0
912,2/6/2020,,India,2020-02-03T21:43:02,3,0,0
987,2/7/2020,,India,2020-02-03T21:43:02,3,0,0
1061,2/8/2020,,India,2020-02-03T21:43:02,3,0,0
1135,2/9/2020,,India,2020-02-03T21:43:02,3,0,0
1210,2/10/2020,,India,2020-02-03T21:43:02,3,0,0
1284,2/11/2020,,India,2020-02-03T21:43:02,3,0,0
1359,2/12/2020,,India,2020-02-03T21:43:02,3,0,0
1434,2/13/2020,,India,2020-02-13T18:53:02,3,0,0
1510,2/14/2020,,India,2020-02-13T18:53:02,3,0,0
1587,2/15/2020,,India,2020-02-13T18:53:02,3,0,0
1664,2/16/2020,,India,2020-02-16T07:43:02,3,0,3
1741,2/17/2020,,India,2020-02-16T07:43:02,3,0,3
1818,2/18/2020,,India,2020-02-16T07:43:02,3,0,3
1895,2/19/2020,,India,2020-02-16T07:43:02,3,0,3
1974,2/20/2020,,India,2020-02-16T07:43:02,3,0,3
2056,2/21/2020,,India,2020-02-16T07:43:02,3,0,3
2142,2/22/2020,,India,2020-02-16T07:43:02,3,0,3
2228,2/23/2020,,India,2020-02-16T07:43:02,3,0,3
2315,2/24/2020,,India,2020-02-16T07:43:02,3,0,3
2410,2/25/2020,,India,2020-02-16T07:43:02,3,0,3
2509,2/26/2020,,India,2020-02-16T07:43:02,3,0,3
2616,2/27/2020,,India,2020-02-16T07:43:02,3,0,3
2725,2/28/2020,,India,2020-02-16T07:43:02,3,0,3
2848,2/29/2020,,India,2020-02-16T07:43:02,3,0,3
2974,3/1/2020,,India,2020-02-16T07:43:02,3,0,3
3097,3/2/2020,,India,2020-03-02T22:33:09,5,0,3
3245,3/3/2020,,India,2020-03-02T22:33:09,5,0,3
